歼-16战机#发动机#AL-31F涡扇发动机
FC-1“枭龙”/JF-17“雷电”多用途攻击机#发动机#俄制RD-93发动机
苏-27战斗机#发动机#2个АL-31F涡轮扇叶发动机
苏-30/苏-33“侧卫” 制空战斗机和对地攻击机#发动机#2台AL-31FL 涡轮风扇发动机
F-16“战隼”#发动机#通用电气F110-GE-100发动机
麦克唐纳F-15E“打击鹰” 双座双发打击战斗机#发动机#两台普-惠F100-PW-229发动机
歼-31战斗机#发动机#9500KGF发动机
F-15鹰式战斗机#发动机#两台普惠F100涡轮风扇发动机
歼-20战斗机#发动机#涡扇15发动机
F-35“闪电II”#发动机#1台普惠F135涡扇发动机
歼-11战斗机#发动机#2台Saturn/Lyulka AL-31F或者WS-10A（太行发动机） 涡轮扇发动机
P-59“空中彗星”战斗机#发动机#两台通用“电气（Electric）”J31-GE-3／5发动机
P-39“空中眼镜蛇”#发动机#艾利逊（Allison）V-1710-83发动机
波音PW-9单座单发双翼战斗机#发动机#寇蒂斯D-12D“V犁”（Vee）发动机
贝尔P-63“眼镜蛇王”单翼战斗机#发动机#艾利逊V-1710-93发动机
SE 5a/E战斗机#发动机#莱特-希斯潘诺E发动机
P-51A#发动机#阿里逊V-1710-39
XP-26“玩具枪”单座单翼战斗机#发动机#普-惠R-1340-27“黄蜂”发动机
波音FB-1#发动机#一台寇蒂斯D-12D“V型”（Vee）发动机
“鹰”200轻型多用途战斗机#发动机#一台罗尔斯•罗伊斯/透博梅卡•阿杜尔M k.871涡轮风扇发动机
歼-7型战斗机#发动机#涡喷-7涡轮喷气发动机
AMX攻击战斗机#发动机#一台罗尔斯·罗伊斯公司斯贝 807 涡扇发动机
F/A-18E/F/G“超级大黄蜂”舰载攻击/战斗机#发动机#两台通用电气F414-GE-400涡轮风扇发动机
阵风战斗机#发动机#两台SNECMA M88-2涡轮风扇发动机
歼-10战斗机#发动机#一台土星/留里卡AL-31FN后燃涡轮风扇发动机
幻影F1战斗机#发动机#一台SNECMA Atar 9K-50涡轮喷气发动机
苏-32/苏-33U/苏-34“后卫”远程战斗机/攻击机#发动机#两台Lyulka AL-31F 补燃涡轮风扇发动机
“幻影”Ⅲ/5/50喷气战斗机#发动机#一台SNECMA Atar 9C/9K-50涡轮喷气发动机
“幻影”2000防空／多用途战斗机#发动机#一台SNECMA M53涡轮风扇发动机
EF2000“台风”战斗机#发动机#两台Eurojet EJ200 涡轮扇叶发动机
F9F战斗机#发动机#普-惠J42-P-6A发动机
波音F4B-1战斗机#发动机#一台普-惠R-1340-17“黄蜂”发动机
“幻影”2000D/N攻击机#发动机#单台SNECMA M53涡轮风扇发动机
EMB-314M（A-29）“超巨嘴鸟”#发动机#一台普拉特-惠特尼PT6A-68-1涡桨发动机
波音F2B-1战斗机#发动机#一台普-惠R1340“黄蜂”发动机
F-14“雄猫”战斗机#发动机#两台普-惠TF30-P-412发动机
洛克希德F-104“星战斗机”#发动机#通用电气J79-GE-7发动机
FD/FH“鬼怪”#发动机#两台西屋J30-WE-20发动机
F3D/F-10“空中骑士”#发动机#两台西屋电气（Westhouse）J34-WE-36发动机
F-94“星火”战斗机#发动机#一台普-惠J48-P-5发动机
F-80/TO/TV“流星”喷射战斗机#发动机#一台阿里逊J33-A-3发动机
F4D/F-6“天光”战斗机#发动机#一台普-惠J57-P-8发动机
F-100“超佩刀” 战斗轰炸机#发动机#一台普-惠J57-PW-39发动机
"F11F/F-11'“虎"""#发动机#一台莱特J65-W-18发动机
F-117“夜鹰”#发动机#两台通用电气F404-GE-F1D2发动机
F/A-18A-D“大黄蜂”#发动机#两台通用电气F-404-GE-402发动机
F9F-9“美洲狮”轰炸机#发动机#普-惠J48-P-8A发动机
F-15A-D“鹰”#发动机#两台普-惠F100-Pwr-220发动机
F/RF-101E“魔术师”#发动机#两台普-惠J57-PW-53发动机
F-22“猛禽”战斗机#发动机#两台普-惠“黄蜂长”F119-PW-100
F-86D/K/L “佩刀猛犬”#发动机#一台通用电气J47-GE-33发动机
F-4“鬼怪Ⅱ”#发动机#两台通用电气J79-GE-10发动机
L-17/U-18“纳维翁” 联络机/通用机#发动机#一台大陆O-470-7发动机
F-82“双野马”#发动机#两台阿里逊V-1710-143发动机
FJ/F-1“狂怒”#发动机#一台莱特J65-W-16A发动机
F/RF/86A-H “佩刀”#发动机#通用电气J47-GE-13发动机
F7U“弯刀”#发动机#两台西屋电气J46-W-8A发动机
F2H/F-2“女妖”#发动机#两台西屋J34-WF-34发动机
F3H/F-3“恶魔”#发动机#阿里逊J7l-A-2发动机
F6U“海盗船”#发动机#一台西屋J34-WE-22发动机
F-5E“虎II”#发动机#两台通用电气J85-GE-21B发动机
F/RF-84F“雷电”#发动机#莱特J65-W-3发动机
F6F“泼妇”#发动机#普-惠R-2800-10W“双黄蜂”发动机
F-84“雷电喷气”#发动机#一台阿里逊J35-A-47发动机
F-105“雷公”战斗轰炸机#发动机#普-惠J75-P-19W发动机
P-40“战斧”#发动机#一台阿里逊V-1710-33发动机
F-5A/B“自由战士#发动机#两台通用电气L185-GE-13发动机
F-89“蝎子”#发动机#两台阿里逊J135-A-4l发动机
P-40 “战鹰/小鹰”#发动机#阿里逊V-1710-81发动机
FR“火球”#发动机#一台莱特“旋风”R-1820-72w发动机，一台通用电气F31-GE-2发动机
F8U/F-8“十字军战士”#发动机#一台普-惠J57-PW-20发动机
P-51D/K“野马”#发动机#一台帕卡德V-1650-7发动机
P-51B/C“野马”#发动机#帕卡德V-1650-3发动机
格鲁曼FF/SF#发动机#莱特R-1820-78“旋风”发动机
F-102“三角剑”截击战斗机#发动机#普-惠J57-P-23A发动机
P-47“雷电”战斗机#发动机#普-惠R-2800-59“双黄蜂”发动机
P-61“黑寡妇”战斗机#发动机#两台普-惠R-2800-65“双黄蜂”发动机
F4F/FM“野猫”战斗机#发动机#普-惠R-1830-86“双黄蜂”发动机
F-106“三角标枪”截击机#发动机#普-惠J75-P-17发动机
F7F“虎猫”战斗机#发动机#两台普-惠R-2800-34W“双黄蜂”发动机
P-35A#发动机#一台普-惠R-1830-45“双黄蜂”发动机
F4U/FG-1“海盗”#发动机#一台普-惠R-2800-18W“双黄蜂”发动机
P-38“闪电”#发动机#两台阿里逊V-1710-89／91发动机
歼-6系列战斗机#发动机#WP-6型发动机2台
AT-12“卫兵”#发动机#普-惠R-1830-S3C“双黄蜂”发动机
米格-29“支点”战斗机#发动机#两台RD-33涡轮扇叶发动机
格鲁曼F2F/F3F#发动机#莱特R-1820-22“旋风”发动机
苏-24“击剑手”战斗轰炸机#发动机#两台上星/留里卡AL-21F-3A涡轮喷气发动机
苏-35/苏-37“侧卫-E”  全天候防空战斗机#发动机#2台AL-35F 涡轮发动机
MB-3#发动机#莱特-希斯潘诺（Wright-HisPano）H-3发动机
歼-7系列战斗机#发动机#涡喷7
共和43“长矛”#发动机#普-惠R-1830-57“双黄蜂”发动机
歼-5战斗机#发动机#涡喷-5型离心式喷气发动机
NA-50/-68和P-64#发动机#莱特R-1820-77“旋风”9发动机
歼-8系列战斗机#发动机#2具涡喷-13A-II型涡喷发动机
歼-12战斗机#发动机#1台WP-6Z
歼-7B/M型 战斗机#发动机#涡喷-7B延寿型发动机
歼-15战斗机#发动机#FWS-10H国产发动机
歼-11BS战斗机#发动机#AL-31/WS-10涡扇发动机
FW-190“百舌鸟”战斗机#发动机#BMW 801 D-2发动机
米格-25战斗机#发动机#2台R-15BD-300涡喷发动机
歼-11B战斗机#发动机#国产涡扇10大推力涡扇发动机
J-10B战斗机#发动机#AL-31F发动机
ME-109战斗机#发动机#一台Daimler Benz DB 605D发动机，功率1850马力
苏-25改进型/苏-25TM/苏-39#发动机#2台图曼斯基R-195涡喷发动机
T-50战斗机#发动机#2×Lyulka AL-41F后燃器，数字控制涡轮风扇发动机
J2M雷电局地战斗机#发动机#火星二三型乙（1900马力）
A6M2-N/二式水上战斗机#发动机#中岛荣12型空冷复列星型14汽缸
XF-88战斗机#发动机#西屋j34-we-22加力涡扇发动机
Hs 124战斗机#发动机#2×BMW 132Dc星型发动机 ， 870 hp（640 kW）
J6K1 阵风 陆上战斗机#发动机#1台中岛誉42型复列星型气冷18缸发动机
Ki-45屠龙/2式复座战斗机#发动机#两具三菱Ha-102气冷式发动机(各1050匹马力)
Ar 68战斗机#发动机#一台容克斯Jumo 210 Da液冷式发动机
A2N/90式舰上战斗机#发动机#中岛寿二改型风冷式发动机(580匹马力)
信天翁D．Ⅲ#发动机#一台梅塞德斯D.III a
J7W1震电战斗机#发动机#三菱重工“Ha－43”四二型引擎
J8M1秋水局地战斗机#发动机#推力1500kg KR-10 [ 特吕2号 ] 液态火箭发动机 ×1
J1N1/2式夜间战斗机#发动机#荣二一型
He 219夜枭战斗机#发动机#2台戴姆勒－朋驰 DB 603E 液冷式倒V12型发动机， 1800 PS（1324 kW）
Me 263战斗机#发动机#1台Walter HWK109-509C-3rocket
He 51战斗机#发动机#BMW6型水冷式发动机(750匹马力)
Bf 108台风式飞机#发动机#As10C风冷式发动机(270匹马力)
92式战斗机#发动机#BMW VI(630匹马力)
J.I攻击机#发动机#奔驰Bz.IV直六水冷引擎，149千瓦（200匹马力）
Ki-201火龙战斗机#发动机#石川岛‘Ne 130’轴流式喷射发动机（静止推力980kg）
Ki-43隼/1式#发动机#1台中岛厦-115 14缸气冷星型发动机，858千瓦（1150马力）
